"Data captured on:"	"25.08.2023 17:32:58"
"Gain setting:"	1
"Averaging frame frequency:"	0
"Edge width rising [s]:"	-1.503310E-3
"Edge width falling [s]:"	2.120636E-6


"Time [s]"	"Amplitude"
6.344000E-3	0.000000E+0
6.345000E-3	0.000000E+0
6.346000E-3	0.000000E+0
6.347000E-3	0.000000E+0
6.348000E-3	0.000000E+0
6.349000E-3	0.000000E+0
6.350000E-3	0.000000E+0
6.351000E-3	0.000000E+0
6.352000E-3	0.000000E+0
6.353000E-3	0.000000E+0
6.354000E-3	0.000000E+0
6.355000E-3	0.000000E+0
6.356000E-3	0.000000E+0
6.357000E-3	0.000000E+0
6.358000E-3	0.000000E+0
6.359000E-3	0.000000E+0
6.360000E-3	0.000000E+0
6.361000E-3	0.000000E+0
6.362000E-3	0.000000E+0
6.363000E-3	0.000000E+0
6.364000E-3	0.000000E+0
6.365000E-3	0.000000E+0
6.366000E-3	0.000000E+0
6.367000E-3	0.000000E+0
6.368000E-3	0.000000E+0
6.369000E-3	0.000000E+0
6.370000E-3	0.000000E+0
6.371000E-3	0.000000E+0
6.372000E-3	0.000000E+0
6.373000E-3	0.000000E+0
6.374000E-3	0.000000E+0
6.375000E-3	0.000000E+0
6.376000E-3	0.000000E+0
6.377000E-3	0.000000E+0
6.378000E-3	0.000000E+0
6.379000E-3	0.000000E+0
6.380000E-3	0.000000E+0
6.381000E-3	0.000000E+0
6.382000E-3	0.000000E+0
6.383000E-3	0.000000E+0
6.384000E-3	0.000000E+0
6.385000E-3	0.000000E+0
6.386000E-3	0.000000E+0
6.387000E-3	0.000000E+0
6.388000E-3	0.000000E+0
6.389000E-3	0.000000E+0
6.390000E-3	0.000000E+0
6.391000E-3	0.000000E+0
6.392000E-3	0.000000E+0
6.393000E-3	0.000000E+0
6.394000E-3	0.000000E+0
6.395000E-3	0.000000E+0
6.396000E-3	0.000000E+0
6.397000E-3	0.000000E+0
6.398000E-3	0.000000E+0
6.399000E-3	0.000000E+0
6.400000E-3	0.000000E+0
6.401000E-3	0.000000E+0
6.402000E-3	0.000000E+0
6.403000E-3	0.000000E+0
6.404000E-3	0.000000E+0
6.405000E-3	0.000000E+0
6.406000E-3	0.000000E+0
6.407000E-3	0.000000E+0
6.408000E-3	0.000000E+0
6.409000E-3	0.000000E+0
6.410000E-3	0.000000E+0
6.411000E-3	0.000000E+0
6.412000E-3	0.000000E+0
6.413000E-3	0.000000E+0
6.414000E-3	0.000000E+0
6.415000E-3	0.000000E+0
6.416000E-3	0.000000E+0
6.417000E-3	0.000000E+0
6.418000E-3	0.000000E+0
6.419000E-3	0.000000E+0
6.420000E-3	0.000000E+0
6.421000E-3	0.000000E+0
